period,vintage,value,label,preliminary
2020Q1,2024-05-02,397.0,,
2020Q3,2024-11-07,304.0,,
2020Q4,2025-02-06,304.0,,
2021Q1,2024-05-02,291.0,,
2021Q2,2025-08-07,397.0,,
2021Q3,2024-11-07,386.0,,
2021Q3,2025-11-06,403.0,,
2021Q4,2025-02-06,383.0,,
2021Q4,2026-02-05,397.0,,
2022Q1,2024-05-02,382.0,,
2022Q1,2026-05-12,436.0,,
2022Q2,2025-08-07,419.0,,
2022Q2,2026-08-11,433.0,,
2022Q3,2024-11-07,403.0,,
2022Q3,2025-11-06,434.0,,
2022Q4,2025-02-06,420.0,,
2022Q4,2026-02-05,451.0,,
2023Q1,2024-05-02,330.0,,
2023Q1,2026-05-12,447.0,,
2023Q2,2025-08-07,416.0,,
2023Q2,2026-08-11,451.0,,
2023Q3,2024-11-07,315.0,,
2023Q3,2025-11-06,402.0,,
2023Q4,2025-02-06,322.0,,
2023Q4,2026-02-05,392.0,,
2024Q1,2024-05-02,183.0,,1
2024Q1,2026-05-12,352.0,,
2024Q2,2025-08-07,274.0,,
2024Q2,2026-08-11,349.0,,
2024Q3,2024-11-07,185.0,,1
2024Q3,2025-11-06,311.0,,
2024Q4,2025-02-06,191.0,,1
2024Q4,2026-02-05,317.0,,
2025Q1,2026-05-12,355.0,,
2025Q2,2025-08-07,196.0,,1
2025Q2,2026-08-11,315.0,,
2025Q3,2025-11-06,167.0,,1
2025Q4,2026-02-05,193.0,,1
2026Q1,2026-05-12,186.0,,1
2026Q2,2026-08-11,192.0,,1
