period,vintage,value,label,preliminary
2020Q3,2024-11-07,110.0,,
2020Q4,2025-02-06,136.0,,
2021Q2,2025-08-07,239.0,,
2021Q3,2024-11-07,255.0,,
2021Q3,2025-11-06,261.0,,
2021Q4,2025-02-06,248.0,,
2021Q4,2026-02-05,254.0,,
2022Q1,2026-05-12,271.0,,
2022Q2,2025-08-07,257.0,,
2022Q2,2026-08-11,260.0,,
2022Q3,2024-11-07,243.0,,
2022Q3,2025-11-06,252.0,,
2022Q4,2025-02-06,248.0,,
2022Q4,2026-02-05,260.0,,
2023Q1,2026-05-12,257.0,,
2023Q2,2025-08-07,255.0,,
2023Q2,2026-08-11,260.0,,
2023Q3,2024-11-07,214.0,,
2023Q3,2025-11-06,241.0,,
2023Q4,2025-02-06,223.0,,
2023Q4,2026-02-05,236.0,,
2024Q1,2026-05-12,237.0,,
2024Q2,2025-08-07,220.0,,
2024Q2,2026-08-11,246.0,,
2024Q3,2024-11-07,183.0,,1
2024Q3,2025-11-06,228.0,,
2024Q4,2025-02-06,181.0,,1
2024Q4,2026-02-05,226.0,,
2025Q1,2026-05-12,210.0,,
2025Q2,2025-08-07,159.0,,1
2025Q2,2026-08-11,189.0,,
2025Q3,2025-11-06,171.0,,1
2025Q4,2026-02-05,168.0,,1
2026Q1,2026-05-12,173.0,,1
2026Q2,2026-08-11,164.0,,1
