period,vintage,value,label,preliminary
2020Q1,2024-05-02,4191600000.0,"film £2,096m + HETV £2,095m",
2020Q3,2024-11-07,2221100000.0,"film £1,296m + HETV £925m",
2020Q4,2025-02-06,3061400000.0,"film £1,523m + HETV £1,538m",
2021Q1,2024-05-02,2661500000.0,"film £921m + HETV £1,741m",
2021Q2,2025-08-07,5321600000.0,"film £1,814m + HETV £3,508m",
2021Q4,2025-02-06,5727600000.0,"film £1,627m + HETV £4,101m",
2021Q4,2026-02-05,5802600000.0,"film £1,628m + HETV £4,175m",
2022Q1,2024-05-02,6759800000.0,"film £2,138m + HETV £4,622m",
2022Q1,2026-05-12,7413400000.0,"film £2,680m + HETV £4,733m",
2022Q2,2025-08-07,6231200000.0,"film £2,140m + HETV £4,091m",
2022Q2,2026-08-11,6375600000.0,"film £2,303m + HETV £4,072m",
2022Q3,2024-11-07,5661300000.0,"film £1,654m + HETV £4,008m",
2022Q3,2025-11-06,6146200000.0,"film £2,099m + HETV £4,047m",
2022Q4,2025-02-06,6498400000.0,"film £2,073m + HETV £4,426m",
2022Q4,2026-02-05,6804200000.0,"film £2,290m + HETV £4,514m",
2023Q1,2024-05-02,5062100000.0,"film £1,383m + HETV £3,679m",
2023Q1,2026-05-12,5679700000.0,"film £1,539m + HETV £4,140m",
2023Q2,2025-08-07,5715000000.0,"film £1,868m + HETV £3,846m",
2023Q2,2026-08-11,5880800000.0,"film £1,763m + HETV £4,118m",
2023Q3,2024-11-07,4670800000.0,"film £1,588m + HETV £3,083m",
2023Q3,2025-11-06,4728000000.0,"film £1,337m + HETV £3,391m",
2023Q4,2025-02-06,3600800000.0,"film £1,352m + HETV £2,249m",
2023Q4,2026-02-05,3798400000.0,"film £1,186m + HETV £2,613m",
2024Q1,2024-05-02,2962100000.0,"film £937m + HETV £2,026m",1
2024Q1,2026-05-12,3651300000.0,"film £1,004m + HETV £2,648m",
2024Q2,2025-08-07,3807500000.0,"film £1,436m + HETV £2,371m",
2024Q2,2026-08-11,3863400000.0,"film £1,384m + HETV £2,480m",
2024Q3,2024-11-07,4488200000.0,"film £1,802m + HETV £2,686m",1
2024Q3,2025-11-06,4703900000.0,"film £1,868m + HETV £2,836m",
2024Q4,2025-02-06,4673900000.0,"film £1,854m + HETV £2,820m",1
2024Q4,2026-02-05,5029100000.0,"film £1,936m + HETV £3,093m",
2025Q1,2026-05-12,5569000000.0,"film £2,382m + HETV £3,187m",
2025Q2,2025-08-07,4862800000.0,"film £1,768m + HETV £3,095m",1
2025Q2,2026-08-11,5498300000.0,"film £2,084m + HETV £3,414m",
2025Q3,2025-11-06,5498800000.0,"film £2,092m + HETV £3,407m",1
2025Q4,2026-02-05,5767600000.0,"film £2,510m + HETV £3,257m",1
2026Q1,2026-05-12,5477500000.0,"film £2,448m + HETV £3,029m",1
2026Q2,2026-08-11,5010100000.0,"film £2,411m + HETV £2,599m",1
