period,vintage,value,label,preliminary
2020Q1,2024-05-02,4893000000.0,"film £2,361m + HETV £2,532m",
2020Q3,2024-11-07,2767600000.0,"film £1,502m + HETV £1,266m",
2020Q4,2025-02-06,3699800000.0,"film £1,741m + HETV £1,958m",
2021Q1,2024-05-02,3385300000.0,"film £1,159m + HETV £2,226m",
2021Q2,2025-08-07,6430000000.0,"film £2,160m + HETV £4,270m",
2021Q3,2024-11-07,7179900000.0,"film £2,262m + HETV £4,918m",
2021Q3,2025-11-06,7295000000.0,"film £2,297m + HETV £4,998m",
2021Q4,2025-02-06,6806100000.0,"film £1,981m + HETV £4,825m",
2021Q4,2026-02-05,6892300000.0,"film £1,984m + HETV £4,909m",
2022Q1,2024-05-02,7880800000.0,"film £2,487m + HETV £5,394m",
2022Q1,2026-05-12,8572100000.0,"film £3,047m + HETV £5,525m",
2022Q2,2025-08-07,7310800000.0,"film £2,489m + HETV £4,822m",
2022Q2,2026-08-11,7456200000.0,"film £2,649m + HETV £4,807m",
2022Q3,2024-11-07,6692900000.0,"film £2,000m + HETV £4,693m",
2022Q3,2025-11-06,7218000000.0,"film £2,466m + HETV £4,752m",
2022Q4,2025-02-06,7497300000.0,"film £2,392m + HETV £5,105m",
2022Q4,2026-02-05,7836600000.0,"film £2,630m + HETV £5,207m",
2023Q1,2024-05-02,5932800000.0,"film £1,647m + HETV £4,285m",
2023Q1,2026-05-12,6647000000.0,"film £1,863m + HETV £4,784m",
2023Q2,2025-08-07,6800900000.0,"film £2,170m + HETV £4,630m",
2023Q2,2026-08-11,6988300000.0,"film £2,080m + HETV £4,908m",
2023Q3,2024-11-07,5734000000.0,"film £1,878m + HETV £3,856m",
2023Q3,2025-11-06,5880700000.0,"film £1,674m + HETV £4,206m",
2023Q4,2025-02-06,4793300000.0,"film £1,703m + HETV £3,091m",
2023Q4,2026-02-05,5005400000.0,"film £1,551m + HETV £3,455m",
2024Q1,2024-05-02,3992100000.0,"film £1,242m + HETV £2,750m",1
2024Q1,2026-05-12,4849200000.0,"film £1,356m + HETV £3,493m",
2024Q2,2025-08-07,4870100000.0,"film £1,752m + HETV £3,118m",
2024Q2,2026-08-11,4965900000.0,"film £1,705m + HETV £3,261m",
2024Q3,2024-11-07,5342400000.0,"film £2,067m + HETV £3,275m",1
2024Q3,2025-11-06,5664000000.0,"film £2,194m + HETV £3,470m",
2024Q4,2025-02-06,5557300000.0,"film £2,120m + HETV £3,438m",1
2024Q4,2026-02-05,6009000000.0,"film £2,257m + HETV £3,752m",
2025Q1,2026-05-12,6654600000.0,"film £2,718m + HETV £3,937m",
2025Q2,2025-08-07,5750000000.0,"film £2,066m + HETV £3,684m",1
2025Q2,2026-08-11,6483400000.0,"film £2,421m + HETV £4,062m",
2025Q3,2025-11-06,6481000000.0,"film £2,335m + HETV £4,146m",1
2025Q4,2026-02-05,6801400000.0,"film £2,772m + HETV £4,030m",1
2026Q1,2026-05-12,6508100000.0,"film £2,726m + HETV £3,783m",1
2026Q2,2026-08-11,6100900000.0,"film £2,696m + HETV £3,405m",1
