period,vintage,value,label,preliminary
2009-07-13,2026-09-21,16544000.0,2009-2010,
2009-07-20,2026-09-21,7137000.0,2009-2010,
2009-07-27,2026-09-21,12482000.0,2009-2010,
2009-08-31,2026-09-21,365000.0,2009-2010,
2009-09-08,2026-09-21,2858000.0,2009-2010,
2009-09-21,2026-09-21,1355000.0,2009-2010,
2009-09-28,2026-09-21,362000.0,2009-2010,
2009-10-05,2026-09-21,7958000.0,2009-2010,
2009-10-12,2026-09-21,594000.0,2009-2010,
2009-10-19,2026-09-21,611000.0,2009-2010,
2009-10-26,2026-09-21,365000.0,2009-2010,
2009-11-05,2026-09-21,315000.0,2009-2010,
2009-11-09,2026-09-21,3816000.0,2009-2010,
2009-11-16,2026-09-21,4790000.0,2009-2010,
2009-11-23,2026-09-21,981000.0,2009-2010,
2009-11-30,2026-09-21,10282000.0,2009-2010,
2009-12-07,2026-09-21,4220000.0,2009-2010,
2009-12-28,2026-09-21,3834000.0,2009-2010,
2010-01-04,2026-09-21,14988000.0,2009-2010/2010-2011,
2010-01-18,2026-09-21,2356000.0,2009-2010/2010-2011,
2010-01-25,2026-09-21,10660000.0,2010-2011,
2010-02-01,2026-09-21,3763000.0,2010-2011,
2010-02-08,2026-09-21,5505000.0,2010-2011,
2010-02-15,2026-09-21,6046000.0,2010-2011,
2010-02-22,2026-09-21,1995000.0,2010-2011,
2010-03-15,2026-09-21,2319000.0,2010-2011,
2010-03-22,2026-09-21,9296000.0,2010-2011,
2010-03-29,2026-09-21,5145000.0,2010-2011,
2010-05-03,2026-09-21,3955000.0,2010-2011,
2010-05-10,2026-09-21,8314000.0,2010-2011,
2010-05-17,2026-09-21,390000.0,2010-2011,
2010-05-24,2026-09-21,1431000.0,2010-2011,
2010-06-07,2026-09-21,7596000.0,2010-2011,
2010-06-14,2026-09-21,1263000.0,2010-2011,
2010-06-20,2026-09-21,1189000.0,2010-2011,
2010-07-01,2026-09-21,14573000.0,2011-2012,
2010-07-12,2026-09-21,6855000.0,2011-2012,
2010-08-02,2026-09-21,7585000.0,2011-2012,
2010-08-30,2026-09-21,134000.0,2011-2012,
2010-10-07,2026-09-21,3301000.0,2011-2012,
2010-10-11,2026-09-21,2128000.0,2011-2012,
2010-11-08,2026-09-21,3294000.0,2011-2012,
2010-11-15,2026-09-21,1356000.0,2011-2012,
2010-11-22,2026-09-21,293000.0,2011-2012,
2010-11-29,2026-09-21,10071000.0,2011-2012,
2010-12-06,2026-09-21,6621000.0,2011-2012,
2010-12-13,2026-09-21,187000.0,2011-2012,
2011-01-03,2026-09-21,5829000.0,2011-2012,
2011-01-17,2026-09-21,797000.0,2011-2012,
2011-02-17,2026-09-21,601000.0,2011-2012,
2011-02-28,2026-09-21,7686000.0,2011-2012,
2011-03-07,2026-09-21,2641000.0,2011-2012,
2011-03-14,2026-09-21,17836000.0,2011-2012,
2011-03-21,2026-09-21,5156000.0,2011-2012,
2011-03-28,2026-09-21,1045000.0,2011-2012,
2011-03-30,2026-09-21,92000.0,2011-2012,
2011-04-04,2026-09-21,1491000.0,2011-2012,
2011-04-11,2026-09-21,3738000.0,2011-2012,
2011-07-01,2026-09-21,18105000.0,2012-2013,
2011-08-01,2026-09-21,5100000.0,2012-2013,
2011-08-08,2026-09-21,3231000.0,2012-2013,
2011-09-05,2026-09-21,2695000.0,2012-2013,
2011-09-12,2026-09-21,1020000.0,2012-2013,
2011-09-22,2026-09-21,1052000.0,2012-2013,
2011-09-26,2026-09-21,284000.0,2012-2013,
2011-10-03,2026-09-21,76000.0,2012-2013,
2011-11-07,2026-09-21,2499000.0,2012-2013,
2011-11-21,2026-09-21,10906000.0,2012-2013,
2011-12-14,2026-09-21,2481000.0,2012-2013,
2011-12-19,2026-09-21,433000.0,2012-2013,
2012-01-09,2026-09-21,617000.0,2012-2013,
2012-01-23,2026-09-21,2257000.0,2012-2013,
2012-02-06,2026-09-21,842000.0,2012-2013,
2012-02-09,2026-09-21,1615000.0,2012-2013,
2012-02-15,2026-09-21,53000.0,2012-2013,
2012-02-27,2026-09-21,1934000.0,2012-2013,
2012-03-05,2026-09-21,921000.0,2012-2013,
2012-03-12,2026-09-21,844000.0,2012-2013,
2012-03-19,2026-09-21,3687000.0,2012-2013,
2012-03-26,2026-09-21,177000.0,2012-2013,
2012-04-02,2026-09-21,1747000.0,2012-2013,
2012-04-16,2026-09-21,2196000.0,2012-2013,
2012-04-23,2026-09-21,433000.0,2012-2013,
2012-04-30,2026-09-21,63000.0,2012-2013,
2012-05-14,2026-09-21,2306000.0,2012-2013,
2012-05-17,2026-09-21,3344000.0,2012-2013,
2012-05-21,2026-09-21,2490000.0,2012-2013,
2012-07-01,2026-09-21,43987000.0,2013-2014,
2012-07-09,2026-09-21,2432000.0,2013-2014,
2012-07-16,2026-09-21,1801000.0,2013-2014,
2012-07-23,2026-09-21,860000.0,2013-2014,
2012-07-30,2026-09-21,1106000.0,2013-2014,
2012-08-06,2026-09-21,1133000.0,2013-2014,
2012-08-13,2026-09-21,440000.0,2013-2014,
2012-08-27,2026-09-21,439000.0,2013-2014,
2012-09-17,2026-09-21,879000.0,2013-2014,
2012-09-24,2026-09-21,4884000.0,2013-2014,
2012-10-15,2026-09-21,1850000.0,2013-2014,
2012-10-19,2026-09-21,68000.0,2013-2014,
2012-10-22,2026-09-21,439000.0,2013-2014,
2012-10-29,2026-09-21,7875000.0,2013-2014,
2012-11-12,2026-09-21,6586000.0,2013-2014,
2012-11-19,2026-09-21,5230000.0,2013-2014,
2012-12-10,2026-09-21,439000.0,2013-2014,
2012-12-24,2026-09-21,1108000.0,2013-2014,
2013-01-21,2026-09-21,1172000.0,2013-2014,
2013-02-04,2026-09-21,2546000.0,2013-2014,
2013-02-11,2026-09-21,882000.0,2013-2014,
2013-02-18,2026-09-21,6492000.0,2013-2014,
2013-03-18,2026-09-21,9296000.0,2013-2014,
2013-03-25,2026-09-21,441000.0,2013-2014,
2013-04-08,2026-09-21,196000.0,2013-2014,
2013-05-13,2026-09-21,8349000.0,2013-2014,
2013-05-20,2026-09-21,4988000.0,2013-2014,
2013-07-01,2026-09-21,30674000.0,2014-2015,
2013-07-15,2026-09-21,856000.0,2014-2015,
2013-07-22,2026-09-21,6363000.0,2014-2015,
2013-08-05,2026-09-21,9019000.0,2014-2015,
2013-08-26,2026-09-21,12200000.0,2014-2015,
2013-09-16,2026-09-21,2332000.0,2014-2015,
2013-09-30,2026-09-21,5550000.0,2014-2015,
2013-11-04,2026-09-21,20000.0,2014-2015,
2013-11-18,2026-09-21,3038000.0,2014-2015,
2013-12-16,2026-09-21,4770000.0,2014-2015,
2013-12-23,2026-09-21,3817000.0,2014-2015,
2014-01-20,2026-09-21,7353000.0,2014-2015,
2014-01-27,2026-09-21,9518000.0,2014-2015,
2014-02-17,2026-09-21,2783000.0,2014-2015,
2014-03-24,2026-09-21,698000.0,2014-2015,
2014-04-21,2026-09-21,349000.0,2014-2015,
2014-04-28,2026-09-21,349000.0,2014-2015,
2014-05-05,2026-09-21,698000.0,2014-2015,
2014-05-12,2026-09-21,349000.0,2014-2015,
2014-05-26,2026-09-21,2405000.0,2014-2015,
2014-06-02,2026-09-21,509000.0,2014-2015,
2014-07-01,2026-09-21,15007000.0,2015-2016,
2014-07-21,2026-09-21,386000.0,2015-2016,
2014-07-28,2026-09-21,2981000.0,2015-2016,
2014-09-01,2026-09-21,3846000.0,2015-2016,
2014-09-15,2026-09-21,4982000.0,2015-2016,
2014-10-13,2026-09-21,6721000.0,2015-2016,
2014-11-03,2026-09-21,2583000.0,2015-2016,
2014-11-10,2026-09-21,8337000.0,2015-2016,
2014-11-17,2026-09-21,1158000.0,2015-2016,
2014-11-24,2026-09-21,887000.0,2015-2016,
2014-12-01,2026-09-21,10023000.0,2015-2016,
2014-12-15,2026-09-21,17395000.0,2015-2016,
2015-01-26,2026-09-21,10026000.0,2015-2016,
2015-02-23,2026-09-21,386000.0,2015-2016,
2015-03-16,2026-09-21,1386000.0,2015-2016,
2015-03-23,2026-09-21,1440000.0,2015-2016,
2015-07-01,2026-09-21,56985000.0,2015-2016/2016-2017,
2015-08-17,2026-09-21,26234000.0,2015-2016/2016-2017,
2015-08-24,2026-09-21,789000.0,2015-2016,
2015-08-31,2026-09-21,7902000.0,2015-2016,
2015-10-01,2026-09-21,7644000.0,2016-2017,
2015-10-19,2026-09-21,6711000.0,2016-2017,
2015-10-26,2026-09-21,7410000.0,2016-2017,
2015-11-09,2026-09-21,7940000.0,2016-2017,
2015-11-30,2026-09-21,3460000.0,2015-2016,
2015-12-07,2026-09-21,6760000.0,2015-2016,
2015-12-14,2026-09-21,15247000.0,2016-2017,
2015-12-21,2026-09-21,29131000.0,2015-2016,
2016-01-11,2026-09-21,733000.0,2016-2017,
2016-01-25,2026-09-21,1449000.0,2015-2016,
2016-02-01,2026-09-21,19472000.0,2015-2016/2016-2017/2021-2022,
2016-02-10,2026-09-21,14160000.0,2015-2016,
2016-03-07,2026-09-21,40862000.0,2015-2016,
2016-06-06,2026-09-21,1367000.0,2016-2017,
2016-07-01,2026-09-21,58800000.0,2016-2017,
2016-08-01,2026-09-21,29396000.0,2016-2017,
2016-10-10,2026-09-21,6221000.0,2016-2017,
2016-11-14,2026-09-21,3201000.0,2016-2017,
2016-11-23,2026-09-21,1432000.0,2016-2017,
2016-12-05,2026-09-21,11090000.0,2016-2017,
2017-01-09,2026-09-21,6900000.0,2016-2017,
2017-01-23,2026-09-21,8388000.0,2016-2017,
2017-02-13,2026-09-21,44965000.0,2016-2017,
2017-02-28,2026-09-21,17673000.0,2016-2017,
2017-03-20,2026-09-21,91169000.0,2016-2017,
2017-03-27,2026-09-21,250000.0,2016-2017,
2017-04-10,2026-09-21,1809000.0,2016-2017,
2017-04-24,2026-09-21,11665000.0,2016-2017,
2017-04-26,2026-09-21,12920000.0,2016-2017,
2017-05-22,2026-09-21,1044000.0,2016-2017,
2017-06-30,2026-09-21,4349000.0,2016-2017,
2017-07-01,2026-09-21,41321000.0,2017-2018,
2017-07-24,2026-09-21,51804000.0,2012-2013/2017-2018/2021-2022,
2017-07-31,2026-09-21,27945000.0,2016-2017/2017-2018,
2017-08-14,2026-09-21,11146000.0,2017-2018,
2017-09-18,2026-09-21,7045000.0,2017-2018,
2017-10-02,2026-09-21,7324000.0,2017-2018,
2017-11-20,2026-09-21,45049000.0,2017-2018,
2017-12-11,2026-09-21,57940000.0,2017-2018,
2018-01-15,2026-09-21,4475000.0,2017-2018,
2018-01-29,2026-09-21,5611000.0,2017-2018,
2018-03-19,2026-09-21,27902000.0,2017-2018,
2018-04-09,2026-09-21,26630000.0,2017-2018,
2018-04-23,2026-09-21,16143000.0,2017-2018,
2018-06-11,2026-09-21,16683000.0,2017-2018,
2018-06-25,2026-09-21,7223000.0,2016-2017,
2018-07-01,2026-09-21,40915000.0,2016-2017/2018-2019,
2018-07-23,2026-09-21,26206000.0,2018-2019,
2018-07-30,2026-09-21,7622000.0,2016-2017,
2018-08-13,2026-09-21,7527000.0,2018-2019,
2018-08-27,2026-09-21,1833000.0,2018-2019,
2018-10-01,2026-09-21,7081000.0,2018-2019,
2018-11-19,2026-09-21,26599000.0,2018-2019,
2018-11-26,2026-09-21,20269000.0,2018-2019,
2018-12-06,2026-09-21,4546000.0,2018-2019,
2018-12-10,2026-09-21,55416000.0,2017-2018/2018-2019,
2019-01-14,2026-09-21,7094000.0,2018-2019,
2019-01-28,2026-09-21,6607000.0,2017-2018,
2019-03-11,2026-09-21,33434000.0,2018-2019,
2019-04-01,2026-09-21,7547000.0,2018-2019,
2019-04-15,2026-09-21,2723000.0,2018-2019,
2019-04-29,2026-09-21,888000.0,2018-2019,
2019-05-20,2026-09-21,24592000.0,2018-2019,
2019-06-03,2026-09-21,9587000.0,2018-2019,
2019-06-17,2026-09-21,12720000.0,2018-2019,
2019-07-01,2026-09-21,17476000.0,2019-2020,
2019-07-29,2026-09-21,31752000.0,2018-2019/2019-2020,
2019-08-08,2026-09-21,13728000.0,2018-2019,
2019-09-01,2026-09-21,8100000.0,2019-2020,
2019-09-16,2026-09-21,8985000.0,2019-2020,
2019-09-30,2026-09-21,8115000.0,2019-2020,
2019-11-11,2026-09-21,31572000.0,2019-2020,
2019-12-09,2026-09-21,5223000.0,2019-2020,
2019-12-16,2026-09-21,122576000.0,2019-2020,
2020-01-06,2026-09-21,7214000.0,2019-2020,
2020-01-09,2026-09-21,7139000.0,2019-2020,
2020-03-09,2026-09-21,9705000.0,2019-2020,
2020-05-11,2026-09-21,13641000.0,2019-2020,
2020-05-18,2026-09-21,13972000.0,2019-2020,
2020-06-01,2026-09-21,2500000.0,2019-2020,
2020-06-29,2026-09-21,11954000.0,2019-2020,
2020-06-30,2026-09-21,15739000.0,2019-2020,
2020-07-20,2026-09-21,21973000.0,2020-2021,
2020-08-17,2026-09-21,34776000.0,2020-2021,
2020-08-18,2026-09-21,10241000.0,2020-2021,
2020-11-16,2026-09-21,18804000.0,2020-2021,
