period,vintage,value,label,preliminary
2009-07-13,2026-09-21,266.0,2009-2010,
2009-07-20,2026-09-21,75.0,2009-2010,
2009-07-27,2026-09-21,191.0,2009-2010,
2009-08-31,2026-09-21,24.0,2009-2010,
2009-09-08,2026-09-21,238.0,2009-2010,
2009-09-21,2026-09-21,47.0,2009-2010,
2009-09-28,2026-09-21,24.0,2009-2010,
2009-10-05,2026-09-21,109.0,2009-2010,
2009-10-12,2026-09-21,48.0,2009-2010,
2009-10-19,2026-09-21,30.0,2009-2010,
2009-10-26,2026-09-21,24.0,2009-2010,
2009-11-05,2026-09-21,18.0,2009-2010,
2009-11-09,2026-09-21,45.0,2009-2010,
2009-11-16,2026-09-21,113.0,2009-2010,
2009-11-23,2026-09-21,24.0,2009-2010,
2009-11-30,2026-09-21,50.0,2009-2010,
2009-12-07,2026-09-21,105.0,2009-2010,
2009-12-28,2026-09-21,70.0,2009-2010,
2010-01-04,2026-09-21,100.0,2009-2010/2010-2011,
2010-01-18,2026-09-21,88.0,2009-2010/2010-2011,
2010-01-25,2026-09-21,228.0,2010-2011,
2010-02-01,2026-09-21,59.0,2010-2011,
2010-02-08,2026-09-21,73.0,2010-2011,
2010-02-15,2026-09-21,50.0,2010-2011,
2010-02-22,2026-09-21,63.0,2010-2011,
2010-03-15,2026-09-21,63.0,2010-2011,
2010-03-22,2026-09-21,100.0,2010-2011,
2010-03-29,2026-09-21,65.0,2010-2011,
2010-05-03,2026-09-21,73.0,2010-2011,
2010-05-10,2026-09-21,114.0,2010-2011,
2010-05-17,2026-09-21,24.0,2010-2011,
2010-05-24,2026-09-21,30.0,2010-2011,
2010-06-07,2026-09-21,78.0,2010-2011,
2010-06-14,2026-09-21,45.0,2010-2011,
2010-06-20,2026-09-21,27.0,2010-2011,
2010-07-01,2026-09-21,344.0,2011-2012,
2010-07-12,2026-09-21,210.0,2011-2012,
2010-08-02,2026-09-21,70.0,2011-2012,
2010-08-30,2026-09-21,18.0,2011-2012,
2010-10-07,2026-09-21,47.0,2011-2012,
2010-10-11,2026-09-21,35.0,2011-2012,
2010-11-08,2026-09-21,107.0,2011-2012,
2010-11-15,2026-09-21,70.0,2011-2012,
2010-11-22,2026-09-21,18.0,2011-2012,
2010-11-29,2026-09-21,114.0,2011-2012,
2010-12-06,2026-09-21,151.0,2011-2012,
2010-12-13,2026-09-21,45.0,2011-2012,
2011-01-03,2026-09-21,52.0,2011-2012,
2011-01-17,2026-09-21,63.0,2011-2012,
2011-02-17,2026-09-21,37.0,2011-2012,
2011-02-28,2026-09-21,217.0,2011-2012,
2011-03-07,2026-09-21,154.0,2011-2012,
2011-03-14,2026-09-21,179.0,2011-2012,
2011-03-21,2026-09-21,105.0,2011-2012,
2011-03-28,2026-09-21,68.0,2011-2012,
2011-03-30,2026-09-21,20.0,2011-2012,
2011-04-04,2026-09-21,25.0,2011-2012,
2011-04-11,2026-09-21,133.0,2011-2012,
2011-07-01,2026-09-21,315.0,2012-2013,
2011-08-01,2026-09-21,52.0,2012-2013,
2011-08-08,2026-09-21,77.0,2012-2013,
2011-09-05,2026-09-21,63.0,2012-2013,
2011-09-12,2026-09-21,39.0,2012-2013,
2011-09-22,2026-09-21,64.0,2012-2013,
2011-09-26,2026-09-21,22.0,2012-2013,
2011-10-03,2026-09-21,16.0,2012-2013,
2011-11-07,2026-09-21,30.0,2012-2013,
2011-11-21,2026-09-21,282.0,2012-2013,
2011-12-14,2026-09-21,108.0,2012-2013,
