period,vintage,value,label,preliminary
2016-09,2026-09-22,144.6,,
2017-07,2026-09-22,122.6,,
2017-08,2026-09-22,126.6,,
2017-09,2026-09-22,133.2,,
2018-07,2026-09-22,121.5,,
2018-08,2026-09-22,129.5,,
2018-09,2026-09-22,132.4,,
2019-07,2026-09-22,119.2,,
2019-08,2026-09-22,129.6,,
2019-09,2026-09-22,139.1,,
2020-07,2026-09-22,82.3,,
2020-08,2026-09-22,91.6,,
2020-09,2026-09-22,94.5,,
2021-07,2026-09-22,115.6,,
2021-08,2026-09-22,144.6,,
2021-09,2026-09-22,126.6,,
2022-07,2026-09-22,145.5,,
2022-08,2026-09-22,154.3,,
2022-09,2026-09-22,146.5,,
2023-07,2026-09-22,94.2,,
2023-08,2026-09-22,93.4,,
2023-09,2026-09-22,91.7,,
2024-07,2026-09-22,103.0,,
2024-08,2026-09-22,111.5,,
2024-09,2026-09-22,109.3,,
2025-07,2026-09-22,97.3,,
2025-08,2026-09-22,103.9,,
2025-09,2026-09-22,100.3,,
2026-01,2026-09-22,97.1,,
2026-02,2026-09-22,103.9,,
2026-03,2026-09-22,101.4,,
2026-04,2026-09-22,96.9,,
2026-05,2026-09-22,98.1,,
2026-06,2026-09-22,101.0,,
2026-07,2026-09-22,94.9,,
2026-08,2026-09-22,95.7,,
