period,vintage,value,label,preliminary
2017Q1,2026-09-21,1484.0,,
2017Q2,2026-09-21,1396.0,,
2017Q3,2026-09-21,1335.0,,
2017Q4,2026-09-21,1331.0,,
2018Q1,2026-09-21,1633.0,,
2018Q2,2026-09-21,1596.0,,
2018Q3,2026-09-21,1400.0,,
2018Q4,2026-09-21,1404.0,,
2019Q1,2026-09-21,1387.0,,
2019Q2,2026-09-21,1280.0,,
2019Q3,2026-09-21,1330.0,,
2019Q4,2026-09-21,1293.0,,
2020Q1,2026-09-21,1214.0,,
2020Q2,2026-09-21,58.0,,
2020Q3,2026-09-21,782.0,,
2020Q4,2026-09-21,1108.0,,
2021Q1,2026-09-21,993.0,,
2021Q2,2026-09-21,1544.0,,
2021Q3,2026-09-21,1533.0,,
2021Q4,2026-09-21,1249.0,,
2022Q1,2026-09-21,1160.0,,
2022Q2,2026-09-21,1110.0,,
2022Q3,2026-09-21,1021.0,,
2022Q4,2026-09-21,828.0,,
2023Q1,2026-09-21,899.0,,
2023Q2,2026-09-21,861.0,,
2023Q3,2026-09-21,758.0,,
2023Q4,2026-09-21,746.0,,
2024Q1,2026-09-21,813.0,,
2024Q2,2026-09-21,817.0,,
2024Q3,2026-09-21,814.0,,
2024Q4,2026-09-21,763.0,,
2025Q1,2026-09-21,796.0,,
2025Q2,2026-09-21,692.0,,
2025Q3,2026-09-21,668.0,,
2025Q4,2026-09-21,586.0,,
2026Q1,2026-09-21,794.0,,
2026Q2,2026-09-21,543.0,,1
