period,vintage,value,label,preliminary
2017Q1,2026-09-21,729.0,,
2017Q2,2026-09-21,1067.0,,
2017Q3,2026-09-21,1172.0,,
2017Q4,2026-09-21,933.0,,
2018Q1,2026-09-21,814.0,,
2018Q2,2026-09-21,1184.0,,
2018Q3,2026-09-21,1301.0,,
2018Q4,2026-09-21,1078.0,,
2019Q1,2026-09-21,708.0,,
2019Q2,2026-09-21,986.0,,
2019Q3,2026-09-21,969.0,,
2019Q4,2026-09-21,1052.0,,
2020Q1,2026-09-21,665.0,,
2020Q2,2026-09-21,3.0,,
2020Q3,2026-09-21,352.0,,
2020Q4,2026-09-21,621.0,,
2021Q1,2026-09-21,575.0,,
2021Q2,2026-09-21,824.0,,
2021Q3,2026-09-21,1100.0,,
2021Q4,2026-09-21,907.0,,
2022Q1,2026-09-21,594.0,,
2022Q2,2026-09-21,898.0,,
2022Q3,2026-09-21,828.0,,
2022Q4,2026-09-21,760.0,,
2023Q1,2026-09-21,595.0,,
2023Q2,2026-09-21,728.0,,
2023Q3,2026-09-21,376.0,,
2023Q4,2026-09-21,323.0,,
2024Q1,2026-09-21,634.0,,
2024Q2,2026-09-21,704.0,,
2024Q3,2026-09-21,476.0,,
2024Q4,2026-09-21,589.0,,
2025Q1,2026-09-21,451.0,,
2025Q2,2026-09-21,553.0,,
2025Q3,2026-09-21,522.0,,
2025Q4,2026-09-21,473.0,,
2026Q1,2026-09-21,687.0,,
2026Q2,2026-09-21,443.0,,1
