period,vintage,value,label,preliminary
2017Q1,2026-09-21,3370.0,,
2017Q2,2026-09-21,3524.0,,
2017Q3,2026-09-21,2927.0,,
2017Q4,2026-09-21,3796.0,,
2018Q1,2026-09-21,3552.0,,
2018Q2,2026-09-21,3245.0,,
2018Q3,2026-09-21,2938.0,,
2018Q4,2026-09-21,4082.0,,
2019Q1,2026-09-21,3609.0,,
2019Q2,2026-09-21,3448.0,,
2019Q3,2026-09-21,3236.0,,
2019Q4,2026-09-21,3733.0,,
2020Q1,2026-09-21,2882.0,,
2020Q2,2026-09-21,81.0,,
2020Q3,2026-09-21,1266.0,,
2020Q4,2026-09-21,1623.0,,
2021Q1,2026-09-21,1677.0,,
2021Q2,2026-09-21,2510.0,,
2021Q3,2026-09-21,2538.0,,
2021Q4,2026-09-21,3699.0,,
2022Q1,2026-09-21,3608.0,,
2022Q2,2026-09-21,3076.0,,
2022Q3,2026-09-21,2779.0,,
2022Q4,2026-09-21,3352.0,,
2023Q1,2026-09-21,3114.0,,
2023Q2,2026-09-21,2347.0,,
2023Q3,2026-09-21,1952.0,,
2023Q4,2026-09-21,2744.0,,
2024Q1,2026-09-21,2974.0,,
2024Q2,2026-09-21,2327.0,,
2024Q3,2026-09-21,1941.0,,
2024Q4,2026-09-21,2912.0,,
2025Q1,2026-09-21,2378.0,,
2025Q2,2026-09-21,1925.0,,
2025Q3,2026-09-21,1749.0,,
2025Q4,2026-09-21,2319.0,,
2026Q1,2026-09-21,2444.0,,
2026Q2,2026-09-21,2118.0,,1
