period,vintage,value,label,preliminary
2017Q1,2026-09-21,9496.0,,
2017Q2,2026-09-21,9466.0,,
2017Q3,2026-09-21,9455.0,,
2017Q4,2026-09-21,9867.0,,
2018Q1,2026-09-21,9724.0,,
2018Q2,2026-09-21,8978.0,,
2018Q3,2026-09-21,9734.0,,
2018Q4,2026-09-21,10359.0,,
2019Q1,2026-09-21,8843.0,,
2019Q2,2026-09-21,8632.0,,
2019Q3,2026-09-21,9226.0,,
2019Q4,2026-09-21,9839.0,,
2020Q1,2026-09-21,7252.0,,
2020Q2,2026-09-21,194.0,,
2020Q3,2026-09-21,4199.0,,
2020Q4,2026-09-21,7348.0,,
2021Q1,2026-09-21,7011.0,,
2021Q2,2026-09-21,9791.0,,
2021Q3,2026-09-21,10127.0,,
2021Q4,2026-09-21,10780.0,,
2022Q1,2026-09-21,9832.0,,
2022Q2,2026-09-21,9220.0,,
2022Q3,2026-09-21,9066.0,,
2022Q4,2026-09-21,8674.0,,
2023Q1,2026-09-21,7476.0,,
2023Q2,2026-09-21,6566.0,,
2023Q3,2026-09-21,5311.0,,
2023Q4,2026-09-21,5520.0,,
2024Q1,2026-09-21,6823.0,,
2024Q2,2026-09-21,5749.0,,
2024Q3,2026-09-21,5048.0,,
2024Q4,2026-09-21,5860.0,,
2025Q1,2026-09-21,5295.0,,
2025Q2,2026-09-21,5394.0,,
2025Q3,2026-09-21,4380.0,,
2025Q4,2026-09-21,4625.0,,
2026Q1,2026-09-21,5121.0,,
2026Q2,2026-09-21,4711.0,,1
