period,vintage,value,label,preliminary
2017Q1,2026-09-21,3913.0,,
2017Q2,2026-09-21,3477.0,,
2017Q3,2026-09-21,4021.0,,
2017Q4,2026-09-21,3807.0,,
2018Q1,2026-09-21,3623.0,,
2018Q2,2026-09-21,2953.0,,
2018Q3,2026-09-21,4095.0,,
2018Q4,2026-09-21,3795.0,,
2019Q1,2026-09-21,3139.0,,
2019Q2,2026-09-21,2918.0,,
2019Q3,2026-09-21,3691.0,,
2019Q4,2026-09-21,3761.0,,
2020Q1,2026-09-21,2491.0,,
2020Q2,2026-09-21,52.0,,
2020Q3,2026-09-21,1799.0,,
2020Q4,2026-09-21,3996.0,,
2021Q1,2026-09-21,3766.0,,
2021Q2,2026-09-21,4913.0,,
2021Q3,2026-09-21,4956.0,,
2021Q4,2026-09-21,4925.0,,
2022Q1,2026-09-21,4470.0,,
2022Q2,2026-09-21,4136.0,,
2022Q3,2026-09-21,4438.0,,
2022Q4,2026-09-21,3734.0,,
2023Q1,2026-09-21,2868.0,,
2023Q2,2026-09-21,2630.0,,
2023Q3,2026-09-21,2225.0,,
2023Q4,2026-09-21,1707.0,,
2024Q1,2026-09-21,2402.0,,
2024Q2,2026-09-21,1901.0,,
2024Q3,2026-09-21,1817.0,,
2024Q4,2026-09-21,1596.0,,
2025Q1,2026-09-21,1670.0,,
2025Q2,2026-09-21,2224.0,,
2025Q3,2026-09-21,1441.0,,
2025Q4,2026-09-21,1247.0,,
2026Q1,2026-09-21,1196.0,,
2026Q2,2026-09-21,1607.0,,1
