period,vintage,value,label,preliminary
2024-07,2026-09-21,3570000000.0,Gower Street post 2024-08-07,
2024-08,2026-09-21,3000000000.0,Gower Street post 2024-09-08,
2024-09,2026-09-21,1800000000.0,Gower Street post 2024-10-06,
2024-10,2026-09-21,2100000000.0,Gower Street post 2024-11-10,
2024-11,2026-09-21,2500000000.0,Gower Street post 2024-12-08,
2024-12,2026-09-21,3000000000.0,Gower Street post 2025-01-08,
2025-01,2026-09-21,2800000000.0,Gower Street post 2025-02-09,
2025-02,2026-09-21,3800000000.0,Gower Street post 2025-03-09,
2025-03,2026-09-21,1725000000.0,Gower Street post 2025-04-06,
2025-04,2026-09-21,2300000000.0,Gower Street post 2025-05-11,
2025-05,2026-09-21,2600000000.0,Gower Street post 2025-06-08,
2025-06,2026-09-21,2500000000.0,Gower Street post 2025-07-06,
2025-07,2026-09-21,3530000000.0,Gower Street post 2025-08-10,
2025-08,2026-09-21,3100000000.0,Gower Street post 2025-09-09,
2025-09,2026-09-21,2300000000.0,Gower Street post 2025-10-12,
2025-10,2026-09-21,2100000000.0,Gower Street post 2025-11-09,
2025-11,2026-09-21,2600000000.0,Gower Street post 2025-12-07,
2025-12,2026-09-21,3500000000.0,Gower Street post 2026-01-06,
2026-01,2026-09-21,2700000000.0,Gower Street post 2026-02-08,
2026-02,2026-09-21,3000000000.0,Gower Street post 2026-03-08 (derived from cumes),1
2026-03,2026-09-21,2200000000.0,Gower Street post 2026-04-05 (derived from cumes),1
2026-04,2026-09-21,2630000000.0,Gower Street post 2026-05-10,
2026-05,2026-09-21,3200000000.0,Gower Street post 2026-06-05,
2026-06,2026-09-21,2810000000.0,Gower Street post 2026-07-05,
2026-07,2026-09-21,3900000000.0,Gower Street post 2026-08-09,
2026-08,2026-09-21,4645000000.0,Gower Street post 2026-09-06,
