period,vintage,value,label,preliminary
2010-01,2026-09-21,115.9,,
2010-02,2026-09-21,116.5,,
2010-03,2026-09-21,120.2,,
2010-04,2026-09-21,115.7,,
2010-05,2026-09-21,116.2,,
2010-06,2026-09-21,119.8,,
2010-07,2026-09-21,120.2,,
2010-08,2026-09-21,125.3,,
2010-09,2026-09-21,128.0,,
2010-10,2026-09-21,121.5,,
2010-11,2026-09-21,123.5,,
2010-12,2026-09-21,130.1,,
2011-01,2026-09-21,124.6,,
2011-02,2026-09-21,123.4,,
2011-03,2026-09-21,124.9,,
2011-04,2026-09-21,121.4,,
2011-05,2026-09-21,119.5,,
2011-06,2026-09-21,119.1,,
2011-07,2026-09-21,118.3,,
2011-08,2026-09-21,120.5,,
2011-09,2026-09-21,119.0,,
2011-10,2026-09-21,120.0,,
2011-11,2026-09-21,117.0,,
2011-12,2026-09-21,120.0,,
2012-01,2026-09-21,114.9,,
2012-02,2026-09-21,114.9,,
2012-03,2026-09-21,117.1,,
2012-04,2026-09-21,120.1,,
2012-05,2026-09-21,116.8,,
2012-06,2026-09-21,114.4,,
2012-07,2026-09-21,117.6,,
2012-08,2026-09-21,119.7,,
2012-09,2026-09-21,116.0,,
2012-10,2026-09-21,119.7,,
2012-11,2026-09-21,123.9,,
2012-12,2026-09-21,126.4,,
2013-01,2026-09-21,118.5,,
2013-02,2026-09-21,119.8,,
2013-03,2026-09-21,121.1,,
2013-04,2026-09-21,121.1,,
2013-05,2026-09-21,119.1,,
2013-06,2026-09-21,120.9,,
2013-07,2026-09-21,117.2,,
2013-08,2026-09-21,120.4,,
2013-09,2026-09-21,123.0,,
2013-10,2026-09-21,124.8,,
2013-11,2026-09-21,127.8,,
2013-12,2026-09-21,126.9,,
2014-01,2026-09-21,123.2,,
2014-02,2026-09-21,121.0,,
2014-03,2026-09-21,123.1,,
2014-04,2026-09-21,125.2,,
2014-05,2026-09-21,120.5,,
2014-06,2026-09-21,119.0,,
2014-07,2026-09-21,117.4,,
2014-08,2026-09-21,122.4,,
2014-09,2026-09-21,123.6,,
2014-10,2026-09-21,126.0,,
2014-11,2026-09-21,124.0,,
2014-12,2026-09-21,124.1,,
2015-01,2026-09-21,117.8,,
2015-02,2026-09-21,126.0,,
2015-03,2026-09-21,128.8,,
2015-04,2026-09-21,127.0,,
2015-05,2026-09-21,124.6,,
2015-06,2026-09-21,127.7,,
2015-07,2026-09-21,123.9,,
2015-08,2026-09-21,127.2,,
2015-09,2026-09-21,130.4,,
2015-10,2026-09-21,137.4,,
2015-11,2026-09-21,138.8,,
2015-12,2026-09-21,137.1,,
2016-01,2026-09-21,143.5,,
2016-02,2026-09-21,150.1,,
2016-03,2026-09-21,148.8,,
2016-04,2026-09-21,156.1,,
2016-05,2026-09-21,158.6,,
2016-06,2026-09-21,149.7,,
2016-07,2026-09-21,142.9,,
2016-08,2026-09-21,146.2,,
2016-09,2026-09-21,144.6,,
2016-10,2026-09-21,142.7,,
