period,vintage,value,label,preliminary
2010-01,2026-09-21,0.337606,,
2010-02,2026-09-21,0.318045,,
2010-03,2026-09-21,0.328955,,
2010-04,2026-09-21,0.30911,,
2010-05,2026-09-21,0.303078,,
2010-06,2026-09-21,0.318363,,
2010-07,2026-09-21,0.3159,,
2010-08,2026-09-21,0.32801,,
2010-09,2026-09-21,0.348299,,
2010-10,2026-09-21,0.333059,,
2010-11,2026-09-21,0.333694,,
2010-12,2026-09-21,0.353053,,
2011-01,2026-09-21,0.358871,,
2011-02,2026-09-21,0.350469,,
2011-03,2026-09-21,0.346559,,
2011-04,2026-09-21,0.33573,,
2011-05,2026-09-21,0.320978,,
2011-06,2026-09-21,0.321111,,
2011-07,2026-09-21,0.325,,
2011-08,2026-09-21,0.32323,,
2011-09,2026-09-21,0.335495,,
2011-10,2026-09-21,0.338505,,
2011-11,2026-09-21,0.319759,,
2011-12,2026-09-21,0.324939,,
2012-01,2026-09-21,0.344734,,
2012-02,2026-09-21,0.310541,,
2012-03,2026-09-21,0.326093,,
2012-04,2026-09-21,0.329402,,
2012-05,2026-09-21,0.302512,,
2012-06,2026-09-21,0.30621,,
2012-07,2026-09-21,0.315028,,
2012-08,2026-09-21,0.318013,,
2012-09,2026-09-21,0.332664,,
2012-10,2026-09-21,0.350102,,
2012-11,2026-09-21,0.336868,,
2012-12,2026-09-21,0.35777,,
2013-01,2026-09-21,0.375356,,
2013-02,2026-09-21,0.317267,,
2013-03,2026-09-21,0.32774,,
2013-04,2026-09-21,0.333242,,
2013-05,2026-09-21,0.307911,,
2013-06,2026-09-21,0.321372,,
2013-07,2026-09-21,0.300128,,
2013-08,2026-09-21,0.33086,,
2013-09,2026-09-21,0.34072,,
2013-10,2026-09-21,0.338395,,
2013-11,2026-09-21,0.32289,,
2013-12,2026-09-21,0.337141,,
2014-01,2026-09-21,0.347042,,
2014-02,2026-09-21,0.325707,,
2014-03,2026-09-21,0.323862,,
2014-04,2026-09-21,0.330082,,
2014-05,2026-09-21,0.313313,,
2014-06,2026-09-21,0.312172,,
2014-07,2026-09-21,0.303673,,
2014-08,2026-09-21,0.31153,,
2014-09,2026-09-21,0.335505,,
2014-10,2026-09-21,0.334928,,
2014-11,2026-09-21,0.317379,,
2014-12,2026-09-21,0.322338,,
2015-01,2026-09-21,0.327404,,
2015-02,2026-09-21,0.322498,,
2015-03,2026-09-21,0.329328,,
2015-04,2026-09-21,0.318455,,
2015-05,2026-09-21,0.308798,,
2015-06,2026-09-21,0.315855,,
2015-07,2026-09-21,0.303379,,
2015-08,2026-09-21,0.309038,,
2015-09,2026-09-21,0.328133,,
2015-10,2026-09-21,0.338007,,
2015-11,2026-09-21,0.34648,,
2015-12,2026-09-21,0.34079,,
2016-01,2026-09-21,0.381852,,
2016-02,2026-09-21,0.366813,,
2016-03,2026-09-21,0.352356,,
2016-04,2026-09-21,0.362517,,
2016-05,2026-09-21,0.375918,,
2016-06,2026-09-21,0.341002,,
2016-07,2026-09-21,0.327903,,
2016-08,2026-09-21,0.333714,,
2016-09,2026-09-21,0.339437,,
2016-10,2026-09-21,0.324983,,
2016-11,2026-09-21,0.331312,,
2016-12,2026-09-21,0.338519,,
2017-01,2026-09-21,0.32089,,
2017-02,2026-09-21,0.348158,,
2017-03,2026-09-21,0.307114,,
2017-04,2026-09-21,0.297235,,
2017-05,2026-09-21,0.296177,,
2017-06,2026-09-21,0.286204,,
2017-07,2026-09-21,0.27889,,
2017-08,2026-09-21,0.285457,,
2017-09,2026-09-21,0.314894,,
2017-10,2026-09-21,0.31346,,
2017-11,2026-09-21,0.304571,,
2017-12,2026-09-21,0.327698,,
2018-01,2026-09-21,0.338246,,
2018-02,2026-09-21,0.345511,,
2018-03,2026-09-21,0.334197,,
2018-04,2026-09-21,0.286776,,
2018-05,2026-09-21,0.274816,,
2018-06,2026-09-21,0.285618,,
2018-07,2026-09-21,0.268449,,
2018-08,2026-09-21,0.282813,,
2018-09,2026-09-21,0.304018,,
2018-10,2026-09-21,0.28967,,
2018-11,2026-09-21,0.288821,,
2018-12,2026-09-21,0.300928,,
2019-01,2026-09-21,0.330716,,
2019-02,2026-09-21,0.347141,,
2019-03,2026-09-21,0.324175,,
2019-04,2026-09-21,0.28437,,
2019-05,2026-09-21,0.279882,,
2019-06,2026-09-21,0.277005,,
2019-07,2026-09-21,0.263309,,
2019-08,2026-09-21,0.289674,,
2019-09,2026-09-21,0.323488,,
2019-10,2026-09-21,0.303267,,
2019-11,2026-09-21,0.308241,,
2019-12,2026-09-21,0.29892,,
2020-01,2026-09-21,0.347954,,
2020-02,2026-09-21,0.357562,,
2020-03,2026-09-21,0.346291,,
2020-04,2026-09-21,0.396552,,
2020-05,2026-09-21,0.407631,,
2020-06,2026-09-21,0.352786,,
2020-07,2026-09-21,0.349915,,
2020-08,2026-09-21,0.349218,,
2020-09,2026-09-21,0.321757,,
2020-10,2026-09-21,0.378214,,
2020-11,2026-09-21,0.402207,,
2020-12,2026-09-21,0.381295,,
2021-01,2026-09-21,0.364176,,
2021-02,2026-09-21,0.370878,,
2021-03,2026-09-21,0.369044,,
2021-04,2026-09-21,0.352026,,
2021-05,2026-09-21,0.354056,,
2021-06,2026-09-21,0.322737,,
2021-07,2026-09-21,0.290088,,
2021-08,2026-09-21,0.348938,,
2021-09,2026-09-21,0.303306,,
2021-10,2026-09-21,0.317601,,
2021-11,2026-09-21,0.339703,,
2021-12,2026-09-21,0.314617,,
