period,vintage,value,label,preliminary
2023Q1,2026-09-21,146420187.0,report dated 2023-03-31,
2023Q2,2026-09-21,468591343.0,report dated 2023-06-30,
2023Q3,2026-09-21,328120548.0,report dated 2023-09-30,
2023Q4,2026-09-21,983691798.0,report dated 2023-12-31,
2024Q1,2026-09-21,1151185683.0,report dated 2024-03-31,
2024Q2,2026-09-21,784317381.0,report dated 2024-06-30,
2024Q3,2026-09-21,1849181672.0,report dated 2024-09-30,
2024Q4,2026-09-21,356498979.0,report dated 2024-12-31,
2025Q1,2026-09-21,622008329.0,report dated 2025-03-31,
2025Q2,2026-09-21,294615434.0,report dated 2025-06-30,
2025Q3,2026-09-21,1639767673.0,report dated 2025-09-30,
2025Q4,2026-09-21,485820679.0,report dated 2025-12-31,
2026Q1,2026-09-21,958664166.0,report dated 2026-03-31,
