period,vintage,value,label,preliminary
2023Q1,2026-09-21,4159.0,report dated 2023-03-31,
2023Q2,2026-09-21,13433.0,report dated 2023-06-30,
2023Q3,2026-09-21,10662.0,report dated 2023-09-30,
2023Q4,2026-09-21,38141.0,report dated 2023-12-31,
2024Q1,2026-09-21,35022.0,report dated 2024-03-31,
2024Q2,2026-09-21,18700.0,report dated 2024-06-30,
2024Q3,2026-09-21,44896.0,report dated 2024-09-30,
2024Q4,2026-09-21,9637.0,report dated 2024-12-31,
2025Q1,2026-09-21,14873.0,report dated 2025-03-31,
2025Q2,2026-09-21,12549.0,report dated 2025-06-30,
2025Q3,2026-09-21,58437.0,report dated 2025-09-30,
2025Q4,2026-09-21,13069.0,report dated 2025-12-31,
2026Q1,2026-09-21,22283.0,report dated 2026-03-31,
