period,vintage,value,label,preliminary
2023Q1,2026-09-21,7.0,report dated 2023-03-31,
2023Q2,2026-09-21,15.0,report dated 2023-06-30,
2023Q3,2026-09-21,18.0,report dated 2023-09-30,
2023Q4,2026-09-21,22.0,report dated 2023-12-31,
2024Q1,2026-09-21,29.0,report dated 2024-03-31,
2024Q2,2026-09-21,21.0,report dated 2024-06-30,
2024Q3,2026-09-21,30.0,report dated 2024-09-30,
2024Q4,2026-09-21,14.0,report dated 2024-12-31,
2025Q1,2026-09-21,20.0,report dated 2025-03-31,
2025Q2,2026-09-21,11.0,report dated 2025-06-30,
2025Q3,2026-09-21,43.0,report dated 2025-09-30,
2025Q4,2026-09-21,19.0,report dated 2025-12-31,
2026Q1,2026-09-21,34.0,report dated 2026-03-31,
