period,vintage,value,label,preliminary
2026-08-25,2026-09-21,0.9580521196168926,,
2026-08-26,2026-09-21,0.9855380644045373,,
2026-08-27,2026-09-21,0.9508241289444516,,
2026-08-28,2026-09-21,0.8704836260235728,,
2026-08-29,2026-09-21,0.8960549874431812,,
2026-08-30,2026-09-21,0.9109640833550198,,
2026-08-31,2026-09-21,0.8511772802074946,,
2026-09-01,2026-09-21,0.6463812213601485,,
2026-09-02,2026-09-21,0.6049081391811162,,
2026-09-03,2026-09-21,0.675796340837086,,
2026-09-04,2026-09-21,0.6082881669433896,,
2026-09-05,2026-09-21,0.5550800444953576,,
2026-09-06,2026-09-21,0.5659960741566359,,
2026-09-07,2026-09-21,0.6790478588807113,,
2026-09-08,2026-09-21,0.6616622159007366,,
2026-09-09,2026-09-21,0.6004905202707808,,
2026-09-10,2026-09-21,0.5512227626407812,,
2026-09-11,2026-09-21,0.49575532408678274,,
2026-09-12,2026-09-21,0.5400896061095325,,
2026-09-13,2026-09-21,0.48122025428385384,,
2026-09-14,2026-09-21,0.40556374511796595,,
2026-09-15,2026-09-21,0.6433348945698817,,
2026-09-16,2026-09-21,0.6456107774609492,,
2026-09-17,2026-09-21,0.6531174957769611,,
2026-09-18,2026-09-21,0.7605391884897679,,
2026-09-19,2026-09-21,0.7456219981145982,,
2026-09-20,2026-09-21,0.7675115122623788,,
2026-09-21,2026-09-21,0.7609033556795649,,1
2026-09-21,2026-09-21,0.7520187813600722,,1
2026-09-21,2026-09-22,0.7180036178959351,,
2026-09-22,2026-09-22,0.4293710098268421,,1
2026-09-22,2026-09-23,0.4269330730484165,,
2026-09-23,2026-09-23,0.38187611796173226,,1
