period,vintage,value,label,preliminary
2026-08-22,2026-09-21,-0.07422468441091085,,
2026-08-23,2026-09-21,0.2889656894691189,,
2026-08-24,2026-09-21,0.6491016318989513,,
2026-08-25,2026-09-21,1.5884877160982547,,
2026-08-26,2026-09-21,1.0389648860775627,,
2026-08-27,2026-09-21,0.8228968482674688,,
2026-08-28,2026-09-21,0.4207901030372382,,
2026-08-29,2026-09-21,0.29161462283973355,,
2026-08-30,2026-09-21,0.6440896990702231,,
2026-08-31,2026-09-21,0.23461016654355007,,
2026-09-01,2026-09-21,0.5943033768521001,,
2026-09-02,2026-09-21,0.8846185639823776,,
2026-09-03,2026-09-21,1.1022663589654045,,
2026-09-04,2026-09-21,0.11463281418932161,,
2026-09-05,2026-09-21,-0.012955524668388778,,
2026-09-06,2026-09-21,0.7221739563381061,,
2026-09-07,2026-09-21,1.1427994206475742,,
2026-09-08,2026-09-21,0.4925459760979229,,
2026-09-09,2026-09-21,0.540601536147031,,
2026-09-10,2026-09-21,0.816877233145296,,
2026-09-11,2026-09-21,-0.17504402640039946,,
2026-09-12,2026-09-21,0.42614148501318083,,
2026-09-13,2026-09-21,0.057061552222414345,,
2026-09-14,2026-09-21,0.48303392076392404,,
2026-09-15,2026-09-21,1.5329324902986499,,
2026-09-16,2026-09-21,0.5597396806764235,,
2026-09-17,2026-09-21,0.8975732109091997,,
2026-09-18,2026-09-21,0.5130792240370342,,
2026-09-19,2026-09-21,-0.09034569665688658,,
2026-09-20,2026-09-21,0.04993216986648585,,
2026-09-21,2026-09-21,0.0884978363178727,,1
2026-09-21,2026-09-21,0.0490683832801303,,1
2026-09-21,2026-09-22,-0.10171585709812875,,
2026-09-22,2026-09-22,0.343268594732725,,1
2026-09-22,2026-09-23,0.39394266703076153,,
2026-09-23,2026-09-23,0.2586227750413907,,1
2026-09-23,2026-09-24,0.5084918158146622,,
2026-09-24,2026-09-24,0.9631975526937676,,1
2026-09-24,2026-09-24,1.1255852131350055,,1
