period,vintage,value,label,preliminary
2010-01,2026-09-21,12.3,,
2010-02,2026-09-21,14.2,,
2010-03,2026-09-21,16.8,,
2010-04,2026-09-21,13.0,,
2010-05,2026-09-21,17.5,,
2010-06,2026-09-21,10.5,,
2010-07,2026-09-21,12.6,,
2010-08,2026-09-21,10.6,,
2010-09,2026-09-21,10.7,,
2010-10,2026-09-21,10.3,,
2010-11,2026-09-21,12.2,,
2010-12,2026-09-21,14.1,,
2011-01,2026-09-21,11.4,,
2011-02,2026-09-21,10.9,,
2011-03,2026-09-21,11.3,,
2011-04,2026-09-21,13.6,,
2011-05,2026-09-21,14.8,,
2011-06,2026-09-21,12.4,,
2011-07,2026-09-21,9.4,,
2011-08,2026-09-21,8.2,,
2011-09,2026-09-21,7.5,,
2011-10,2026-09-21,10.5,,
2011-11,2026-09-21,9.0,,
2011-12,2026-09-21,9.2,,
2012-01,2026-09-21,12.5,,
2012-02,2026-09-21,19.4,,
2012-03,2026-09-21,17.8,,
2012-04,2026-09-21,16.7,,
2012-05,2026-09-21,13.6,,
2012-06,2026-09-21,10.1,,
2012-07,2026-09-21,4.3,,
2012-08,2026-09-21,12.1,,
2012-09,2026-09-21,8.2,,
2012-10,2026-09-21,13.8,,
2012-11,2026-09-21,13.5,,
2012-12,2026-09-21,16.4,,
2013-01,2026-09-21,21.5,,
2013-02,2026-09-21,12.0,,
2013-03,2026-09-21,9.7,,
2013-04,2026-09-21,8.2,,
2013-05,2026-09-21,8.8,,
2013-06,2026-09-21,6.6,,
2013-07,2026-09-21,8.5,,
2013-08,2026-09-21,6.1,,
2013-09,2026-09-21,2.0,,
2013-10,2026-09-21,10.4,,
2013-11,2026-09-21,13.4,,
2013-12,2026-09-21,8.2,,
2014-01,2026-09-21,10.3,,
2014-02,2026-09-21,9.0,,
2014-03,2026-09-21,9.0,,
2014-04,2026-09-21,7.7,,
2014-05,2026-09-21,7.8,,
2014-06,2026-09-21,4.8,,
2014-07,2026-09-21,1.7,,
2014-08,2026-09-21,4.3,,
2014-09,2026-09-21,5.1,,
2014-10,2026-09-21,5.0,,
2014-11,2026-09-21,8.1,,
2014-12,2026-09-21,12.1,,
2015-01,2026-09-21,10.1,,
2015-02,2026-09-21,10.3,,
2015-03,2026-09-21,5.0,,
2015-04,2026-09-21,1.1,,
2015-05,2026-09-21,3.6,,
2015-06,2026-09-21,4.1,,
2015-07,2026-09-21,6.4,,
2015-08,2026-09-21,8.5,,
2015-09,2026-09-21,4.2,,
