period,vintage,value,label,preliminary
2010-01,2026-09-21,13.9083,,
2010-02,2026-09-21,14.175,,
2010-03,2026-09-21,14.7083,,
2010-04,2026-09-21,14.4083,,
2010-05,2026-09-21,14.675,,
2010-06,2026-09-21,13.95,,
2010-07,2026-09-21,13.4417,,
2010-08,2026-09-21,13.3583,,
2010-09,2026-09-21,13.0167,,
2010-10,2026-09-21,13.075,,
2010-11,2026-09-21,13.2,,
2010-12,2026-09-21,12.9,,
2011-01,2026-09-21,12.825,,
2011-02,2026-09-21,12.55,,
2011-03,2026-09-21,12.0917,,
2011-04,2026-09-21,12.1417,,
2011-05,2026-09-21,11.9167,,
2011-06,2026-09-21,12.075,,
2011-07,2026-09-21,11.8083,,
2011-08,2026-09-21,11.6083,,
2011-09,2026-09-21,11.3417,,
2011-10,2026-09-21,11.3583,,
2011-11,2026-09-21,11.0917,,
2011-12,2026-09-21,10.6833,,
2012-01,2026-09-21,10.775,,
2012-02,2026-09-21,11.4833,,
2012-03,2026-09-21,12.025,,
2012-04,2026-09-21,12.2833,,
2012-05,2026-09-21,12.1833,,
2012-06,2026-09-21,11.9917,,
2012-07,2026-09-21,11.5667,,
2012-08,2026-09-21,11.8917,,
2012-09,2026-09-21,11.95,,
2012-10,2026-09-21,12.225,,
2012-11,2026-09-21,12.6,,
2012-12,2026-09-21,13.2,,
2013-01,2026-09-21,13.95,,
2013-02,2026-09-21,13.3333,,
2013-03,2026-09-21,12.6583,,
2013-04,2026-09-21,11.95,,
2013-05,2026-09-21,11.55,,
2013-06,2026-09-21,11.2583,,
2013-07,2026-09-21,11.6083,,
2013-08,2026-09-21,11.1083,,
2013-09,2026-09-21,10.5917,,
2013-10,2026-09-21,10.3083,,
2013-11,2026-09-21,10.3,,
2013-12,2026-09-21,9.6167,,
2014-01,2026-09-21,8.6833,,
2014-02,2026-09-21,8.4333,,
2014-03,2026-09-21,8.375,,
2014-04,2026-09-21,8.3333,,
2014-05,2026-09-21,8.25,,
2014-06,2026-09-21,8.1,,
2014-07,2026-09-21,7.5333,,
2014-08,2026-09-21,7.3833,,
2014-09,2026-09-21,7.6417,,
2014-10,2026-09-21,7.1917,,
2014-11,2026-09-21,6.75,,
2014-12,2026-09-21,7.075,,
2015-01,2026-09-21,7.0583,,
2015-02,2026-09-21,7.1667,,
2015-03,2026-09-21,6.8333,,
