period,vintage,value,label,preliminary
2010-01,2026-09-21,343.3,,
2010-02,2026-09-21,366.3,,
2010-03,2026-09-21,365.4,,
2010-04,2026-09-21,374.3,,
2010-05,2026-09-21,383.4,,
2010-06,2026-09-21,376.3,,
2010-07,2026-09-21,380.5,,
2010-08,2026-09-21,382.0,,
2010-09,2026-09-21,367.5,,
2010-10,2026-09-21,364.8,,
2010-11,2026-09-21,370.1,,
2010-12,2026-09-21,368.5,,
2011-01,2026-09-21,347.2,,
2011-02,2026-09-21,352.1,,
2011-03,2026-09-21,360.4,,
2011-04,2026-09-21,361.6,,
2011-05,2026-09-21,372.3,,
2011-06,2026-09-21,370.9,,
2011-07,2026-09-21,364.0,,
2011-08,2026-09-21,372.8,,
2011-09,2026-09-21,354.7,,
2011-10,2026-09-21,354.5,,
2011-11,2026-09-21,365.9,,
2011-12,2026-09-21,369.3,,
2012-01,2026-09-21,333.3,,
2012-02,2026-09-21,370.0,,
2012-03,2026-09-21,359.1,,
2012-04,2026-09-21,364.6,,
2012-05,2026-09-21,386.1,,
2012-06,2026-09-21,373.6,,
2012-07,2026-09-21,373.3,,
2012-08,2026-09-21,376.4,,
2012-09,2026-09-21,348.7,,
2012-10,2026-09-21,341.9,,
2012-11,2026-09-21,367.8,,
2012-12,2026-09-21,353.3,,
2013-01,2026-09-21,315.7,,
2013-02,2026-09-21,377.6,,
2013-03,2026-09-21,369.5,,
2013-04,2026-09-21,363.4,,
2013-05,2026-09-21,386.8,,
2013-06,2026-09-21,376.2,,
2013-07,2026-09-21,390.5,,
2013-08,2026-09-21,363.9,,
2013-09,2026-09-21,361.0,,
2013-10,2026-09-21,368.8,,
2013-11,2026-09-21,395.8,,
2013-12,2026-09-21,376.4,,
2014-01,2026-09-21,355.0,,
2014-02,2026-09-21,371.5,,
2014-03,2026-09-21,380.1,,
2014-04,2026-09-21,379.3,,
2014-05,2026-09-21,384.6,,
2014-06,2026-09-21,381.2,,
2014-07,2026-09-21,386.6,,
2014-08,2026-09-21,392.9,,
2014-09,2026-09-21,368.4,,
2014-10,2026-09-21,376.2,,
2014-11,2026-09-21,390.7,,
2014-12,2026-09-21,385.0,,
2015-01,2026-09-21,359.8,,
2015-02,2026-09-21,390.7,,
2015-03,2026-09-21,391.1,,
2015-04,2026-09-21,398.8,,
2015-05,2026-09-21,403.5,,
2015-06,2026-09-21,404.3,,
2015-07,2026-09-21,408.4,,
2015-08,2026-09-21,411.6,,
2015-09,2026-09-21,397.4,,
2015-10,2026-09-21,406.5,,
2015-11,2026-09-21,400.6,,
2015-12,2026-09-21,402.3,,
2016-01,2026-09-21,375.8,,
2016-02,2026-09-21,409.2,,
2016-03,2026-09-21,422.3,,
2016-04,2026-09-21,430.6,,
2016-05,2026-09-21,421.9,,
2016-06,2026-09-21,439.0,,
2016-07,2026-09-21,435.8,,
2016-08,2026-09-21,438.1,,
2016-09,2026-09-21,426.0,,
2016-10,2026-09-21,439.1,,
2016-11,2026-09-21,445.2,,
2016-12,2026-09-21,430.7,,
2017-01,2026-09-21,404.5,,
2017-02,2026-09-21,431.7,,
2017-03,2026-09-21,425.9,,
2017-04,2026-09-21,434.0,,
2017-05,2026-09-21,434.2,,
2017-06,2026-09-21,437.8,,
2017-07,2026-09-21,439.6,,
