period,vintage,value,label,preliminary
2010-01,2026-09-21,366.5,,
2010-02,2026-09-21,377.7,,
2010-03,2026-09-21,366.2,,
2010-04,2026-09-21,370.6,,
2010-05,2026-09-21,370.3,,
2010-06,2026-09-21,368.8,,
2010-07,2026-09-21,373.3,,
2010-08,2026-09-21,371.4,,
2010-09,2026-09-21,371.5,,
2010-10,2026-09-21,373.0,,
2010-11,2026-09-21,365.7,,
2010-12,2026-09-21,365.4,,
2011-01,2026-09-21,365.8,,
2011-02,2026-09-21,358.2,,
2011-03,2026-09-21,362.0,,
2011-04,2026-09-21,358.1,,
2011-05,2026-09-21,360.5,,
2011-06,2026-09-21,361.7,,
2011-07,2026-09-21,357.4,,
2011-08,2026-09-21,362.2,,
2011-09,2026-09-21,362.5,,
2011-10,2026-09-21,363.1,,
2011-11,2026-09-21,361.8,,
2011-12,2026-09-21,364.7,,
2012-01,2026-09-21,352.6,,
2012-02,2026-09-21,364.1,,
2012-03,2026-09-21,360.4,,
2012-04,2026-09-21,365.6,,
2012-05,2026-09-21,374.4,,
2012-06,2026-09-21,364.0,,
2012-07,2026-09-21,366.2,,
2012-08,2026-09-21,363.9,,
2012-09,2026-09-21,357.9,,
2012-10,2026-09-21,350.5,,
2012-11,2026-09-21,358.6,,
2012-12,2026-09-21,359.0,,
2013-01,2026-09-21,336.3,,
2013-02,2026-09-21,372.3,,
2013-03,2026-09-21,370.6,,
2013-04,2026-09-21,363.6,,
2013-05,2026-09-21,376.1,,
2013-06,2026-09-21,371.6,,
2013-07,2026-09-21,382.8,,
2013-08,2026-09-21,350.5,,
2013-09,2026-09-21,370.0,,
2013-10,2026-09-21,377.2,,
2013-11,2026-09-21,381.0,,
2013-12,2026-09-21,380.8,,
2014-01,2026-09-21,383.1,,
2014-02,2026-09-21,376.7,,
2014-03,2026-09-21,381.5,,
2014-04,2026-09-21,378.5,,
2014-05,2026-09-21,374.6,,
2014-06,2026-09-21,377.0,,
2014-07,2026-09-21,378.0,,
2014-08,2026-09-21,378.3,,
2014-09,2026-09-21,378.1,,
2014-10,2026-09-21,378.5,,
2014-11,2026-09-21,385.5,,
2014-12,2026-09-21,388.7,,
2015-01,2026-09-21,390.3,,
2015-02,2026-09-21,396.8,,
2015-03,2026-09-21,393.5,,
2015-04,2026-09-21,393.1,,
2015-05,2026-09-21,395.0,,
2015-06,2026-09-21,399.2,,
2015-07,2026-09-21,399.4,,
2015-08,2026-09-21,401.1,,
